,Player,Nation,Pos,Age,MP,Clube,Year,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Playing Time MP
107,Joaquín Piquerez,uy URU,DF,24.0,29,Palmeiras,2023,29,2526.0,28.1,3.0,5.0,8.0,2.0,1.0,1.0,5.0,0.0,0.11,0.18,0.29,0.07,0.25,2.1,1.3,3.7,4.9,55.0,129.0,164.0,0.07,0.13,0.2,0.05,0.18,
108,Richard Ríos,co COL,MF,22.0,37,Palmeiras,2023,20,1853.0,20.6,2.0,1.0,3.0,2.0,0.0,0.0,6.0,0.0,0.1,0.05,0.15,0.1,0.15,1.2,1.2,0.9,2.1,41.0,63.0,67.0,0.06,0.04,0.1,0.06,0.1,
109,José López,ar ARG,"FW,MF",22.0,22,Palmeiras,2023,5,591.0,6.6,5.0,0.0,5.0,5.0,0.0,0.0,3.0,0.0,0.76,0.0,0.76,0.76,0.76,3.5,3.5,0.6,4.2,13.0,19.0,36.0,0.54,0.1,0.63,0.54,0.63,
110,Eduard Atuesta,co COL,MF,25.0,1,Palmeiras,2023,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
111,Aníbal Moreno,ar ARG,MF,24.0,34,Palmeiras,2024,31,2517.0,28.0,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.04,0.04,0.07,0.04,0.07,0.9,0.9,1.1,2.0,25.0,167.0,27.0,0.03,0.04,0.07,0.03,0.07,
112,Gustavo Gómez,py PAR,DF,30.0,27,Palmeiras,2024,26,2367.0,26.3,1.0,2.0,3.0,0.0,1.0,1.0,9.0,0.0,0.04,0.08,0.11,0.0,0.08,3.8,3.0,1.8,4.8,8.0,82.0,6.0,0.14,0.07,0.21,0.12,0.18,
113,José López,ar ARG,FW,23.0,35,Palmeiras,2024,24,2140.0,23.8,10.0,2.0,12.0,10.0,0.0,0.0,8.0,0.0,0.42,0.08,0.5,0.42,0.5,9.4,9.4,3.0,12.3,32.0,41.0,111.0,0.39,0.13,0.52,0.39,0.52,
114,Richard Ríos,co COL,MF,23.0,24,Palmeiras,2024,20,1742.0,19.4,3.0,4.0,7.0,3.0,0.0,0.0,6.0,0.0,0.15,0.21,0.36,0.15,0.36,1.2,1.2,1.4,2.6,27.0,103.0,51.0,0.06,0.07,0.14,0.06,0.14,
115,Joaquín Piquerez,uy URU,DF,25.0,16,Palmeiras,2024,15,1314.0,14.6,2.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.14,0.0,0.14,0.07,0.07,2.0,1.2,2.0,3.2,29.0,87.0,73.0,0.14,0.14,0.27,0.08,0.22,
116,Agustín Giay,ar ARG,DF,20.0,10,Palmeiras,2024,8,642.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2,0.8,16.0,37.0,22.0,0.08,0.03,0.12,0.08,0.12,
117,Héctor Canteros,ar ARG,MF,24.0,24,Flamengo,2014,23,2024.0,22.5,2.0,3.0,5.0,2.0,0.0,0.0,6.0,0.0,0.09,0.13,0.22,0.09,0.22,,,,,,,,,,,,,
118,Víctor Cáceres,py PAR,"DF,MF",28.0,20,Flamengo,2014,20,1615.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
119,Lucas Mugni,ar ARG,MF,22.0,25,Flamengo,2014,10,1251.0,13.9,2.0,2.0,4.0,1.0,1.0,1.0,2.0,0.0,0.14,0.14,0.29,0.07,0.22,,,,,,,,,,,,,
120,Eduardo da Silva,hr CRO,FW,30.0,18,Flamengo,2014,10,879.0,9.8,8.0,2.0,10.0,8.0,0.0,1.0,0.0,0.0,0.82,0.2,1.02,0.82,1.02,,,,,,,,,,,,,
121,Frickson Erazo,ec ECU,DF,25.0,2,Flamengo,2014,1,103.0,1.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.87,0.0,0.87,,,,,,,,,,,,,
122,Héctor Canteros,ar ARG,MF,25.0,,Flamengo,2015,30,2540.0,28.2,2.0,4.0,6.0,2.0,0.0,0.0,9.0,1.0,0.07,0.14,0.21,0.07,0.21,,,,,,,,,,,,,34
123,Emerson Sheik,qa QAT,FW,36.0,,Flamengo,2015,22,1826.0,20.3,5.0,1.0,6.0,5.0,0.0,0.0,6.0,0.0,0.25,0.05,0.3,0.25,0.3,,,,,,,,,,,,,22
124,Paolo Guerrero,pe PER,FW,31.0,,Flamengo,2015,14,1241.0,13.8,3.0,4.0,7.0,3.0,0.0,0.0,8.0,1.0,0.22,0.29,0.51,0.22,0.51,,,,,,,,,,,,,15
125,Víctor Cáceres,py PAR,"DF,MF",29.0,,Flamengo,2015,5,412.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,5
126,Eduardo da Silva,hr CRO,FW,31.0,,Flamengo,2015,4,317.0,3.5,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.57,0.28,0.85,0.57,0.85,,,,,,,,,,,,,9
127,Pablo Armero,co COL,"DF,MF",28.0,,Flamengo,2015,4,294.0,3.3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.61,0.0,0.61,,,,,,,,,,,,,4
128,Lucas Mugni,ar ARG,MF,23.0,,Flamengo,2015,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1
129,Paolo Guerrero,pe PER,FW,32.0,21,Flamengo,2016,21,1802.0,20.0,9.0,3.0,12.0,9.0,0.0,0.0,7.0,0.0,0.45,0.15,0.6,0.45,0.6,,,,,,,,,,,,,
130,Federico Mancuello,ar ARG,"DF,FW",26.0,21,Flamengo,2016,9,913.0,10.1,3.0,2.0,5.0,3.0,0.0,0.0,4.0,1.0,0.3,0.2,0.49,0.3,0.49,,,,,,,,,,,,,
131,Gustavo Cuellar,co COL,MF,23.0,16,Flamengo,2016,4,525.0,5.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,,,,,,,,,,,,,
132,Emerson Sheik,qa QAT,FW,37.0,10,Flamengo,2016,2,336.0,3.7,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.27,0.27,0.0,0.27,,,,,,,,,,,,,
133,Alejandro Donatti,ar ARG,DF,29.0,2,Flamengo,2016,1,125.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
134,Héctor Canteros,ar ARG,MF,26.0,2,Flamengo,2016,0,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
135,Miguel Trauco,pe PER,"DF,MF",24.0,23,Flamengo,2017,22,1900.0,21.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.05,0.0,0.05,0.05,0.05,,,,,,,,,,,,,
136,Gustavo Cuellar,co COL,MF,24.0,25,Flamengo,2017,22,1860.0,20.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
137,Paolo Guerrero,pe PER,FW,33.0,19,Flamengo,2017,18,1536.0,17.1,6.0,2.0,8.0,6.0,0.0,0.0,4.0,0.0,0.35,0.12,0.47,0.35,0.47,,,,,,,,,,,,,
138,Orlando Berrío,co COL,"FW,MF",25.0,19,Flamengo,2017,8,799.0,8.9,2.0,2.0,4.0,2.0,0.0,0.0,5.0,0.0,0.23,0.23,0.45,0.23,0.45,,,,,,,,,,,,,
139,Federico Mancuello,ar ARG,"DF,FW",27.0,8,Flamengo,2017,3,315.0,3.5,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.57,0.0,0.57,0.57,0.57,,,,,,,,,,,,,
140,Darío Conca,ar ARG,MF,33.0,2,Flamengo,2017,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
141,Gustavo Cuellar,co COL,MF,25.0,,Flamengo,2018,27,2309.0,25.7,0.0,2.0,2.0,0.0,0.0,0.0,6.0,3.0,0.0,0.08,0.08,0.0,0.08,,,,,,,,,,,,,28
142,Fernando Uribe,co COL,FW,30.0,,Flamengo,2018,16,1327.0,14.7,6.0,2.0,8.0,6.0,0.0,0.0,1.0,0.0,0.41,0.14,0.54,0.41,0.54,,,,,,,,,,,,,20
143,Marlos Moreno,co COL,"FW,MF",21.0,,Flamengo,2018,6,631.0,7.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.14,0.14,0.29,0.14,0.29,,,,,,,,,,,,,21
144,Robert Piris Da Motta,py PAR,MF,23.0,,Flamengo,2018,6,541.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,11
145,Miguel Trauco,pe PER,"DF,MF",25.0,,Flamengo,2018,4,368.0,4.1,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.0,0.98,,,,,,,,,,,,,6
146,Paolo Guerrero,pe PER,FW,34.0,,Flamengo,2018,4,359.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.25,0.5,,,,,,,,,,,,,6
147,Orlando Berrío,co COL,"FW,MF",26.0,,Flamengo,2018,0,149.0,1.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,,,,,,,,,,,,,9
148,Pablo Marí,es ESP,DF,25.0,22,Flamengo,2019,22,1980.0,22.0,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.09,0.05,0.14,0.09,0.14,1.5,1.5,0.7,2.2,15.0,128.0,5.0,0.07,0.03,0.1,0.07,0.1,
149,Giorgian De Arrascaeta,uy URU,"MF,FW",24.0,23,Flamengo,2019,22,1814.0,20.2,13.0,14.0,27.0,12.0,1.0,1.0,1.0,0.0,0.64,0.69,1.34,0.6,1.29,7.7,6.9,11.8,18.7,74.0,163.0,175.0,0.38,0.59,0.97,0.34,0.93,
150,Robert Piris Da Motta,py PAR,MF,24.0,26,Flamengo,2019,13,1300.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,4.0,43.0,4.0,0.02,0.0,0.02,0.02,0.02,
151,Gustavo Cuellar,co COL,MF,26.0,9,Flamengo,2019,8,708.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.5,1.1,1.0,36.0,6.0,0.08,0.07,0.14,0.08,0.14,
152,Miguel Trauco,pe PER,DF,26.0,5,Flamengo,2019,5,450.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.2,0.2,0.0,0.2,0.3,0.3,0.6,0.8,12.0,26.0,33.0,0.06,0.11,0.17,0.06,0.17,
153,Orlando Berrío,co COL,"FW,MF",27.0,16,Flamengo,2019,4,453.0,5.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0,0.2,0.4,0.6,0.2,0.6,2.1,2.1,1.6,3.7,17.0,10.0,56.0,0.42,0.31,0.74,0.42,0.74,
154,Mauricio Isla,cl CHI,DF,31.0,29,Flamengo,2020,28,2361.0,26.2,2.0,5.0,7.0,2.0,0.0,0.0,4.0,0.0,0.08,0.19,0.27,0.08,0.27,0.5,0.5,6.3,6.8,24.0,132.0,225.0,0.02,0.24,0.26,0.02,0.26,
155,Giorgian De Arrascaeta,uy URU,"MF,FW",25.0,28,Flamengo,2020,26,2206.0,24.5,8.0,9.0,17.0,8.0,0.0,0.0,0.0,0.0,0.33,0.37,0.69,0.33,0.69,8.5,8.5,9.8,18.3,83.0,173.0,242.0,0.35,0.4,0.75,0.35,0.75,
156,Richard Ríos,co COL,FW,19.0,1,Flamengo,2020,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
157,Robert Piris Da Motta,py PAR,MF,25.0,0,Flamengo,2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Milani,at AUT,GK,18.0,0,Flamengo,2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Mauricio Isla,cl CHI,DF,32.0,,Flamengo,2021,15,1141.0,12.7,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.32,0.32,0.0,0.32,0.2,0.2,1.6,1.9,15.0,72.0,112.0,0.02,0.13,0.15,0.02,0.15,15
160,Giorgian De Arrascaeta,uy URU,MF,26.0,,Flamengo,2021,11,921.0,10.2,1.0,6.0,7.0,1.0,0.0,0.0,3.0,0.0,0.1,0.59,0.68,0.1,0.68,2.1,2.1,3.4,5.5,33.0,87.0,102.0,0.21,0.33,0.54,0.21,0.54,14
161,Robert Piris Da Motta,py PAR,"MF,FW",26.0,,Flamengo,2021,1,136.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,8.0,2.0,0.02,0.02,0.04,0.02,0.04,5
162,Giorgian De Arrascaeta,uy URU,MF,27.0,24,Flamengo,2022,16,1477.0,16.4,3.0,10.0,13.0,3.0,0.0,0.0,1.0,0.0,0.18,0.61,0.79,0.18,0.79,6.9,6.9,8.1,15.0,37.0,127.0,160.0,0.42,0.5,0.92,0.42,0.92,
163,Arturo Vidal,cl CHI,MF,34.0,15,Flamengo,2022,9,836.0,9.3,2.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,0.22,0.11,0.32,0.11,0.22,1.8,1.0,0.9,2.0,13.0,73.0,32.0,0.2,0.1,0.3,0.11,0.21,
164,Erick Pulgar,cl CHI,MF,28.0,6,Flamengo,2022,4,355.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,20.0,3.0,0.01,0.07,0.08,0.01,0.08,
165,Mauricio Isla,cl CHI,DF,33.0,6,Flamengo,2022,4,341.0,3.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26,0.0,0.0,0.2,0.3,5.0,16.0,36.0,0.01,0.07,0.08,0.01,0.08,
166,Guillermo Varela,uy URU,DF,28.0,5,Flamengo,2022,3,261.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,13.0,0.0,0.01,0.01,0.0,0.01,
167,Erick Pulgar,cl CHI,MF,29.0,25,Flamengo,2023,22,2000.0,22.2,2.0,3.0,5.0,2.0,0.0,0.0,9.0,0.0,0.09,0.14,0.23,0.09,0.23,0.9,0.9,2.0,2.9,16.0,137.0,31.0,0.04,0.09,0.13,0.04,0.13,
168,Giorgian De Arrascaeta,uy URU,"MF,FW",28.0,28,Flamengo,2023,22,1842.0,20.5,7.0,6.0,13.0,7.0,0.0,0.0,3.0,0.0,0.34,0.29,0.64,0.34,0.64,5.0,5.0,5.5,10.4,37.0,152.0,168.0,0.24,0.27,0.51,0.24,0.51,
169,Agustín Rossi,ar ARG,GK,27.0,15,Flamengo,2023,15,1350.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
170,Guillermo Varela,uy URU,DF,29.0,5,Flamengo,2023,3,233.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,
171,Arturo Vidal,cl CHI,"MF,DF",35.0,6,Flamengo,2023,2,252.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.1,0.9,2.0,17.0,12.0,0.27,0.04,0.31,0.27,0.31,
172,Agustín Rossi,ar ARG,GK,28.0,35,Flamengo,2024,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,
173,Erick Pulgar,cl CHI,MF,30.0,23,Flamengo,2024,21,1750.0,19.4,0.0,3.0,3.0,0.0,0.0,0.0,7.0,1.0,0.0,0.15,0.15,0.0,0.15,1.0,0.9,1.8,2.7,12.0,110.0,20.0,0.05,0.09,0.14,0.05,0.14,
174,Guillermo Varela,uy URU,DF,30.0,18,Flamengo,2024,12,1038.0,11.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.09,0.0,0.09,0.09,0.09,0.2,0.2,1.0,1.3,14.0,24.0,50.0,0.02,0.09,0.11,0.02,0.11,
175,Nicolás De La Cruz,uy URU,MF,26.0,15,Flamengo,2024,11,1010.0,11.2,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,0.18,0.27,0.45,0.18,0.45,1.6,1.6,2.5,4.1,18.0,104.0,35.0,0.14,0.22,0.37,0.14,0.37,
176,Giorgian De Arrascaeta,uy URU,MF,29.0,15,Flamengo,2024,11,1007.0,11.2,5.0,5.0,10.0,5.0,0.0,0.0,2.0,0.0,0.45,0.45,0.89,0.45,0.89,2.2,2.2,2.7,4.8,19.0,80.0,91.0,0.2,0.24,0.43,0.2,0.43,
177,Carlos Alcaraz,ar ARG,"MF,FW",21.0,14,Flamengo,2024,8,751.0,8.3,2.0,1.0,3.0,0.0,2.0,2.0,1.0,1.0,0.24,0.12,0.36,0.0,0.12,3.3,1.4,0.6,2.0,26.0,39.0,42.0,0.39,0.07,0.46,0.17,0.23,
178,Gonzalo Plata,ec ECU,"FW,MF",23.0,11,Flamengo,2024,8,684.0,7.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.13,0.0,0.13,0.13,0.13,1.6,1.6,1.9,3.5,25.0,27.0,68.0,0.21,0.25,0.46,0.21,0.46,
179,Matías Viña,uy URU,DF,26.0,9,Flamengo,2024,4,422.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.6,0.8,7.0,15.0,37.0,0.05,0.12,0.18,0.05,0.18,
180,Ogundana Shola,ng NGA,MF,18.0,1,Flamengo,2024,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,1.0,2.49,0.0,2.49,2.49,2.49,
181,Weliton,cl CHI,FW,18.0,0,Flamengo,2024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Juan Quintero,co COL,DF,23.0,37,Fortaleza,2019,37,3308.0,36.8,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.03,0.0,0.03,0.03,0.03,0.4,0.4,0.1,0.5,37.0,141.0,4.0,0.01,0.0,0.01,0.01,0.01,
183,Mariano Vázquez,ar ARG,"MF,FW",26.0,6,Fortaleza,2019,3,289.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,7.0,10.0,15.0,0.03,0.08,0.1,0.03,0.1,
184,Santiago Romero,uy URU,MF,28.0,0,Fortaleza,2019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Juan Quintero,co COL,DF,24.0,14,Fortaleza,2020,13,1024.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,6.0,44.0,1.0,0.03,0.0,0.04,0.03,0.04,
186,Mariano Vázquez,ar ARG,"MF,FW",27.0,19,Fortaleza,2020,3,369.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,1.1,7.0,15.0,25.0,0.17,0.11,0.28,0.17,0.28,
187,Franco Fragapane,ar ARG,"MF,FW",26.0,9,Fortaleza,2020,0,124.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,8.0,8.0,14.0,0.03,0.06,0.09,0.03,0.09,
188,Ángelo Henríquez,cl CHI,FW,26.0,14,Fortaleza,2021,6,482.0,5.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.19,0.19,0.0,0.19,1.5,1.5,0.2,1.7,3.0,8.0,32.0,0.28,0.04,0.33,0.28,0.33,
189,Valentín Depietri,ar ARG,FW,20.0,9,Fortaleza,2021,4,313.0,3.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.29,0.29,0.58,0.29,0.58,0.8,0.8,0.6,1.4,11.0,5.0,27.0,0.22,0.17,0.39,0.22,0.39,
190,Juan Quintero,co COL,DF,25.0,1,Fortaleza,2021,1,53.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,4.0,0.0,0.13,0.0,0.13,0.13,0.13,
191,Emanuel Brítez,ar ARG,DF,29.0,20,Fortaleza,2022,20,1800.0,20.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.05,0.15,0.2,0.05,0.2,0.8,0.8,1.2,2.0,4.0,39.0,16.0,0.04,0.06,0.1,0.04,0.1,
192,Silvio Romero,ar ARG,FW,33.0,30,Fortaleza,2022,13,1158.0,12.9,2.0,3.0,5.0,2.0,0.0,1.0,1.0,0.0,0.16,0.23,0.39,0.16,0.39,4.6,3.8,3.2,7.1,14.0,24.0,59.0,0.36,0.25,0.61,0.3,0.55,
193,Brayan Ceballos,co COL,DF,20.0,16,Fortaleza,2022,12,1075.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.2,1.4,9.0,34.0,13.0,0.11,0.01,0.12,0.11,0.12,
194,Anthony Landazuri,ec ECU,DF,24.0,7,Fortaleza,2022,6,521.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,10.0,28.0,21.0,0.03,0.04,0.07,0.03,0.07,
195,Rómulo Otero,ve VEN,"MF,FW",29.0,7,Fortaleza,2022,2,231.0,2.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.39,0.39,0.78,0.39,0.78,0.4,0.4,0.6,1.0,3.0,18.0,15.0,0.15,0.24,0.4,0.15,0.4,
196,Valentín Depietri,ar ARG,"FW,MF",21.0,16,Fortaleza,2022,0,234.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.8,1.1,17.0,13.0,35.0,0.11,0.3,0.41,0.11,0.41,
197,Ángelo Henríquez,cl CHI,FW,27.0,0,Fortaleza,2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Emanuel Brítez,ar ARG,DF,30.0,31,Fortaleza,2023,31,2761.0,30.7,0.0,1.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,0.03,0.03,0.0,0.03,1.0,1.0,0.6,1.6,19.0,86.0,17.0,0.03,0.02,0.05,0.03,0.05,
199,Tomas Pochettino,ar ARG,"MF,FW",26.0,35,Fortaleza,2023,26,1991.0,22.1,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,0.09,0.14,0.23,0.09,0.23,3.0,3.0,3.9,6.9,54.0,107.0,128.0,0.13,0.18,0.31,0.13,0.31,
200,Juan Martín Lucero,ar ARG,FW,31.0,31,Fortaleza,2023,23,2069.0,23.0,9.0,0.0,9.0,6.0,3.0,3.0,2.0,0.0,0.39,0.0,0.39,0.26,0.26,9.2,6.8,1.2,8.0,21.0,33.0,101.0,0.4,0.05,0.45,0.3,0.35,
201,Imanol Machuca,ar ARG,FW,23.0,16,Fortaleza,2023,6,679.0,7.5,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.27,0.0,0.27,0.27,0.27,1.3,1.3,1.3,2.6,38.0,17.0,76.0,0.17,0.17,0.34,0.17,0.34,
202,Gonzalo Escobar,ar ARG,DF,25.0,13,Fortaleza,2023,6,579.0,6.4,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.16,0.16,0.0,0.16,0.3,0.3,0.2,0.5,10.0,25.0,54.0,0.04,0.04,0.08,0.04,0.08,
203,Tobias Figueiredo,pt POR,DF,28.0,4,Fortaleza,2023,4,343.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.01,0.0,0.01,0.01,0.01,
204,Silvio Romero,ar ARG,FW,34.0,17,Fortaleza,2023,3,398.0,4.4,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.45,0.23,0.68,0.45,0.68,1.6,1.6,1.2,2.7,3.0,5.0,27.0,0.36,0.26,0.62,0.36,0.62,
205,Brayan Ceballos,co COL,DF,21.0,3,Fortaleza,2023,2,206.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,4.0,0.0,0.05,0.0,0.05,0.05,0.05,
206,Emanuel Brítez,ar ARG,DF,31.0,,Fortaleza,2024,29,2503.0,27.8,0.0,2.0,2.0,0.0,0.0,0.0,12.0,2.0,0.0,0.07,0.07,0.0,0.07,1.2,1.2,1.9,3.1,12.0,64.0,23.0,0.04,0.07,0.11,0.04,0.11,30
207,Juan Martín Lucero,ar ARG,FW,32.0,,Fortaleza,2024,26,2246.0,25.0,8.0,3.0,11.0,6.0,2.0,3.0,8.0,0.0,0.32,0.12,0.44,0.24,0.36,6.3,4.1,2.2,6.3,13.0,27.0,93.0,0.25,0.09,0.34,0.16,0.25,32
208,Benjamín Kuscevic,cl CHI,DF,27.0,,Fortaleza,2024,21,1858.0,20.6,2.0,0.0,2.0,2.0,0.0,0.0,8.0,1.0,0.1,0.0,0.1,0.1,0.1,1.3,1.3,0.4,1.6,4.0,37.0,5.0,0.06,0.02,0.08,0.06,0.08,22
